Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,1,0,0,0,0
0.948089000,0,0,0,0,0,0,0,0
0.948098000,0,0,0,1,0,0,0,0
0.948107000,0,0,0,0,0,0,0,0
0.948115000,0,0,0,1,0,0,0,0
0.948133000,0,0,0,0,0,0,0,0
0.948150000,0,0,0,1,0,0,0,0
0.948159000,0,0,0,0,0,0,0,0
0.948167000,0,0,0,1,0,0,0,0
0.948176000,0,0,0,0,0,0,0,0
0.948185000,0,0,0,1,0,0,0,0
0.948193000,0,0,0,0,0,0,0,0
0.948211000,0,0,0,1,0,0,0,0
0.948220000,0,0,0,0,0,0,0,0
0.948237000,0,0,0,1,0,0,0,0
0.948246000,0,0,0,0,0,0,0,0
0.948254000,0,0,0,1,0,0,0,0
0.948263000,0,0,0,0,0,0,0,0
0.948280000,0,0,0,1,0,0,0,0
0.948306000,0,0,0,0,0,0,0,0
0.948324000,0,0,0,1,0,0,0,0
0.948332000,0,0,0,0,0,0,0,0
0.948341000,0,0,0,1,0,0,0,0
0.948350000,0,0,0,0,0,0,0,0
0.948376000,0,0,0,1,0,0,0,0
0.948385000,0,0,0,0,0,0,0,0
0.948411000,0,0,0,1,0,0,0,0
0.948419000,0,0,0,0,0,0,0,0
0.948428000,0,0,0,1,0,0,0,0
0.948437000,0,0,0,0,0,0,0,0
0.948445000,0,0,0,1,0,0,0,0
0.948471000,0,0,0,0,0,0,0,0
0.948498000,0,0,0,1,0,0,0,0
0.948506000,0,0,0,0,0,0,0,0
0.948515000,0,0,0,1,0,0,0,0
0.948524000,0,0,0,0,0,0,0,0
0.948532000,0,0,0,1,0,0,0,0
0.948541000,0,0,0,0,0,0,0,0
0.948584000,0,0,0,1,0,0,0,0
0.948593000,0,0,0,0,0,0,0,0
0.948602000,0,0,0,1,0,0,0,0
0.948610000,0,0,0,0,0,0,0,0
0.948628000,0,0,0,1,0,0,0,0
0.948637000,0,0,0,0,0,0,0,0
0.948654000,0,0,0,1,0,0,0,0
0.948663000,0,0,0,0,0,0,0,0
0.948671000,0,0,0,1,0,0,0,0
0.948680000,0,0,0,0,0,0,0,0
0.948689000,0,0,0,1,0,0,0,0
0.948697000,0,0,0,0,0,0,0,0
0.948723000,0,0,0,1,0,0,0,0
0.948732000,0,0,0,0,0,0,0,0
0.948758000,0,0,0,1,0,0,0,0
0.948767000,0,0,0,0,0,0,0,0
0.948776000,0,0,0,1,0,0,0,0
0.948784000,0,0,0,0,0,0,0,0
0.948793000,0,0,0,1,0,0,0,0
0.948802000,0,0,0,0,0,0,0,0
0.948810000,0,0,0,1,0,0,0,0
0.948828000,0,0,0,0,0,0,0,0
0.948836000,0,0,0,1,0,0,0,0
0.948845000,0,0,0,0,0,0,0,0
0.948862000,0,0,0,1,0,0,0,0
0.948871000,0,0,0,0,0,0,0,0
0.948880000,0,0,0,1,0,0,0,0
0.948906000,0,0,0,0,0,0,0,0
0.948932000,0,0,0,1,0,0,0,0
0.948941000,0,0,0,0,0,0,0,0
0.948949000,0,0,0,1,0,0,0,0
