Time [s],Channel 3
0.000000000,1
13.317471500,0
13.317475900,1
13.317488900,0
13.317493200,1
13.317501900,0
13.317510600,1
13.317515000,0
13.317523700,1
13.317528000,0
13.317536700,1
13.317545400,0
13.317554100,1
13.318430400,0
13.318439100,1
13.318447800,0
13.318452100,1
13.318460800,0
13.318469500,1
13.318473800,0
13.318491200,1
13.318504200,0
13.318512900,1
13.318517300,0
13.318521600,1
13.318526000,0
13.318534600,1
13.318547700,0
13.318556400,1
13.318560700,0
13.318569400,1
13.318573700,0
13.318582400,1
13.318591100,0
13.318599800,1
13.318604100,0
13.318608500,1
13.318617200,0
13.318625900,1
13.318634600,0
13.318643200,1
13.318647600,0
13.318651900,1
13.318656300,0
13.318660600,1
13.318665000,0
13.318669300,1
13.318678000,0
13.318686700,1
13.318691000,0
13.318717100,1
13.318721400,0
13.318730100,1
13.318734500,0
13.318738800,1
13.318747500,0
13.318751800,1
13.318760500,0
13.318773500,1
13.318777900,0
13.318782200,1
13.318790900,0
13.318795300,1
13.318804000,0
13.318808300,1
13.318812600,0
13.318817000,1
13.318821300,0
13.318843000,1
13.318851700,0
13.318860400,1
13.318864800,0
13.318869100,1
13.318877800,0
13.318882100,1
13.318895200,0
13.318903900,1
13.318908200,0
13.318912500,1
13.318921200,0
13.318929900,1
13.318938600,0
13.318947300,1
13.318951600,0
13.318956000,1
13.318964700,0
13.318973400,1
13.318982000,0
13.318990700,1
13.318995100,0
13.318999400,1
13.319003800,0
13.319008100,1
13.319016800,0
13.319021100,1
13.319029800,0
13.319034200,1
13.319038500,0
13.319042900,1
13.319051500,0
13.319055900,1
13.319064600,0
13.319068900,1
13.319073300,0
13.319077600,1
13.319082000,0
13.319086300,1
13.319099300,0
13.319103700,1
13.319108000,0
13.319112400,1
13.319116700,0
13.319121000,1
13.319125400,0
13.319129700,1
13.319134100,0
13.319138400,1
13.319151500,0
13.319155800,1
13.319160100,0
13.319164500,1
13.319168800,0
13.319173200,1
13.319181900,0
13.319186200,1
13.319194900,0
13.319199200,1
13.319203600,0
13.319207900,1
13.319212300,0
13.319220900,1
13.319229600,0
13.319234000,1
13.319238300,0
13.319242700,1
13.319247000,0
13.319251400,1
13.319255700,0
13.319260000,1
13.319264400,0
13.319273100,1
13.319277400,0
13.319281800,1
13.319290400,0
13.319294800,1
13.319299100,0
13.319303500,1
13.319307800,0
13.319312200,1
13.319316500,0
13.319325200,1
13.319333900,0
13.319338200,1
13.319342600,0
13.319346900,1
13.319359900,0
13.319364300,1
13.319377300,0
13.319381700,1
13.319386000,0
13.319407700,1
13.319412100,0
13.319416400,1
13.319420800,0
13.319425100,1
13.319429400,0
13.319433800,1
13.319451200,0
13.319455500,1
13.319464200,0
13.319468500,1
13.319472900,0
13.319481600,1
13.319485900,0
13.319494600,1
13.319507600,0
13.319512000,1
13.319516300,0
13.319529300,1
13.319533700,0
13.319538000,1
13.319551100,0
13.319555400,1
13.319559800,0
13.319564100,1
13.319568400,0
13.319572800,1
13.319585800,0
13.319590200,1
13.319594500,0
13.319598800,1
13.319603200,0
13.319629300,1
13.319633600,0
13.319642300,1
13.319646600,0
13.319651000,1
13.319659700,0
13.319664000,1
13.319672700,0
13.319685700,1
13.320738200,0
13.320742500,1
13.320751200,0
13.320755600,1
13.320764300,0
13.320768600,1
13.320773000,0
13.320777300,1
13.320781600,0
13.320803400,1
13.320812100,0
13.320820700,1
13.320825100,0
13.320829400,1
13.320833800,0
13.320838100,1
13.320846800,0
13.320851100,1
13.320859800,0
13.320864200,1
13.320879200,0
13.320887900,1
13.320896600,0
13.320900900,1
13.320905300,0
13.320909600,1
13.320913900,0
13.320918300,1
13.320922600,0
13.320927000,1
13.320931300,0
13.320940000,1
13.320944300,0
13.320948700,1
13.320957400,0
13.320961700,1
13.320966100,0
13.320970400,1
13.320974800,0
13.320979100,1
13.320983400,0
13.320992100,1
13.321000800,0
13.321005200,1
13.321009500,0
13.321013800,1
13.321026900,0
13.321031200,1
13.321044300,0
13.321048600,1
13.321052900,0
13.321074700,1
13.321079000,0
13.321083300,1
13.321087700,0
13.321092000,1
13.321096400,0
13.321100700,1
13.321118100,0
13.321122400,1
13.321131100,0
13.321135500,1
13.321139800,0
13.321148500,1
13.321152800,0
13.321161500,1
13.321174600,0
13.321178900,1
13.321183300,0
13.321196300,1
13.321200600,0
13.321205000,1
13.321218000,0
13.321222300,1
13.321226700,0
13.321252700,1
13.321257100,0
13.321265800,1
13.321270100,0
13.321283200,1
13.321291800,0
13.321296200,1
13.321304900,0
13.321309200,1
13.321313600,0
13.321317900,1
13.321335300,0
13.321339600,1
13.321348300,0
13.321352700,1
13.321357000,0
13.321361300,1
13.321370000,0
13.321383100,1
13.321391700,0
13.321396100,1
13.321400400,0
13.321404800,1
13.321413500,0
13.321417800,1
13.321422200,0
13.321426500,1
13.321435200,0
13.321439500,1
13.321443900,0
13.321448200,1
13.321452600,0
13.321456900,1
13.321461200,0
13.321465600,1
13.321478600,0
13.321483000,1
13.321487300,0
13.321509000,1
13.321522100,0
